date,hourly temperatur,relative humidity,Rainfall,SD_SO,V_VV
2019010100,7.1,97.0,0.0,0.0,0.0
2019010101,6.9,98.0,0.0,0.0,1600.0
2019010102,6.8,98.0,0.0,0.0,1600.0
2019010103,6.8,97.0,0.0,0.0,1600.0
2019010104,6.8,97.0,0.0,0.0,2200.0
2019010105,7.3,93.0,0.0,0.0,4500.0
2019010106,7.7,88.0,0.0,0.0,12000.0
2019010107,7.8,87.0,0.0,0.0,18000.0
2019010108,7.9,83.0,0.0,0.0,25000.0
2019010109,7.9,80.0,0.0,0.0,30000.0
2019010110,8.1,80.0,0.0,0.0,40000.0
2019010111,7.8,82.0,0.0,0.0,20000.0
2019010112,7.0,89.0,0.0,0.0,12000.0
2019010113,6.6,94.0,0.0,0.0,12000.0
2019010114,6.7,94.0,0.0,0.0,12000.0
2019010115,6.6,98.0,0.0,0.0,4500.0
2019010116,6.7,99.0,0.1,0.0,7000.0
2019010117,7.0,98.0,0.5,0.0,15000.0
2019010118,6.9,80.0,0.1,0.0,30000.0
2019010119,6.8,77.0,0.0,0.0,30000.0
2019010120,6.4,78.0,0.8,0.0,30000.0
2019010121,6.0,71.0,0.1,0.0,40000.0
2019010122,5.5,74.0,0.0,0.0,40000.0
2019010123,4.9,71.0,0.5,0.0,40000.0
2019010200,4.4,75.0,0.0,0.0,35000.0
2019010201,4.8,69.0,0.0,0.0,30000.0
2019010202,4.3,70.0,0.0,0.0,30000.0
2019010203,4.1,71.0,0.0,0.0,30000.0
2019010204,4.3,69.0,0.0,0.0,25000.0
2019010205,4.1,71.0,0.0,0.0,25000.0
2019010206,4.4,70.0,0.0,0.0,25000.0
2019010207,4.2,73.0,0.0,0.0,25000.0
2019010208,4.4,74.0,0.0,0.0,25000.0
2019010209,4.3,76.0,0.0,0.0,25000.0
2019010210,5.3,69.0,0.0,24.0,30000.0
2019010211,4.7,73.0,0.0,1.0,20000.0
2019010212,5.8,59.0,0.0,38.0,35000.0
2019010213,5.9,49.0,0.0,40.0,50000.0
2019010214,5.8,47.0,0.0,35.0,60000.0
2019010215,5.3,48.0,0.0,32.0,70000.0
2019010216,4.2,51.0,0.0,5.0,70000.0
2019010217,3.2,56.0,0.0,0.0,60000.0
2019010218,3.1,55.0,0.0,0.0,60000.0
2019010219,2.5,58.0,0.0,0.0,60000.0
2019010220,2.1,61.0,0.0,0.0,60000.0
2019010221,2.1,58.0,0.0,0.0,60000.0
2019010222,1.2,61.0,0.0,0.0,60000.0
2019010223,0.0,66.0,0.0,0.0,60000.0
2019010300,-0.6,70.0,0.0,0.0,60000.0
2019010301,-0.7,77.0,0.0,0.0,60000.0
2019010302,-0.1,74.0,0.0,0.0,50000.0
2019010303,0.4,73.0,0.0,0.0,50000.0
2019010304,0.3,74.0,0.0,0.0,50000.0
2019010305,1.2,71.0,0.0,0.0,50000.0
2019010306,1.3,72.0,0.0,0.0,50000.0
2019010307,1.3,79.0,0.0,0.0,40000.0
2019010308,1.4,83.0,0.0,0.0,25000.0
2019010309,2.5,80.0,0.0,0.0,25000.0
2019010310,2.6,85.0,0.0,0.0,18000.0
2019010311,3.1,84.0,0.0,0.0,18000.0
2019010312,3.2,86.0,0.0,0.0,18000.0
2019010313,3.6,86.0,0.0,0.0,18000.0
2019010314,3.8,84.0,0.0,0.0,23000.0
2019010315,4.1,80.0,0.0,0.0,20000.0
2019010316,3.9,81.0,0.0,0.0,23000.0
2019010317,3.4,84.0,0.0,0.0,28000.0
2019010318,3.0,89.0,0.0,0.0,28000.0
2019010319,2.8,90.0,0.0,0.0,30000.0
2019010320,1.9,92.0,0.0,0.0,35000.0
2019010321,1.2,96.0,0.0,0.0,30000.0
2019010322,0.7,97.0,0.0,0.0,15000.0
2019010323,0.3,98.0,0.0,0.0,13000.0
2019010400,0.0,100.0,0.0,0.0,13000.0
