Coordinates,Zip_codes
"50.107599008539374, 8.664168119430544",60329
"50.130390000000006, 8.69218",60318
"50.115009182002275, 8.687546253204347",60313
"50.12951315169243, 8.692637085914612",60318
"50.107599008539, 8.664168119430501",60329
"50.11312406556512, 8.678609132766724",60313
"50.1203235723831, 8.695657253265379",60316
"50.128914782193796, 8.69243860244751",60318
"50.12032013283903, 8.651497364044191",60325
"50.122879085338404, 8.701279163360597",60385
"50.10903021773362, 8.674521446228027",60329
"50.113155, 8.671565",60311
"50.1085795290673, 8.66951107978821",60329
"50.12652810758002, 8.708392381668089",60385
"50.131825, 8.683653",60322
"50.115009182002, 8.6875462532043",60313
"50.11914723389384, 8.640081882476808",60486
"50.10164320525455, 8.628360629081726",60326
"50.13110532834322, 8.645660877227781",60487
"50.128914782194, 8.6924386024475",60318
"50.1091127861899, 8.681800961494446",60311
"50.117540000000005, 8.645430000000001",60486
"50.10213180856631, 8.636047840118406",60326
"50.11270437625783, 8.707099556922913",60314
"50.12268304139676, 8.645521402359009",60487
"50.131359796591404, 8.671581745147705",60323
"50.122879085338, 8.7012791633606",60385
"50.12319206610741, 8.658460378646849",60323
"50.11532909403141, 8.671152591705322",60322
"50.11194755017685, 8.654125928878784",60308
"50.124155071023, 8.6696881055832",60323
"50.113124065565, 8.6786091327667",60313
"50.120031210253174, 8.650268912315369",60325
"50.117031815641006, 8.6660295724869",60325
"50.099554541956394, 8.685041069984436",60594
"50.117485864509476, 8.679049015045166",60322
"50.1088237959701, 8.654919862747192",60327
"50.120323572383, 8.6956572532654",60316
"50.115329094031, 8.6711525917053",60322
"50.11079164725936, 8.681833148002625",60311
"50.1230682497841, 8.69268000125885",60316
"50.12415507102278, 8.669688105583191",60323
"50.10191503447261, 8.681114315986633",60594
"50.10136449268256, 8.663417100906372",60327
"50.131359796591, 8.6715817451477",60323
"50.104956663814114, 8.64370822906494",60327
"50.11435215166982, 8.649957776069641",60486
"50.08072149270782, 8.636434078216553",60528
"50.109030217734, 8.674521446228",60329
"50.105345455452614, 8.678008317947388",60594
"50.123670000000004, 8.63977",60487
"50.12870156826576, 8.645805716514587",60487
"50.13592967840257, 8.666823506355286",60320
"50.14176088769309, 8.684005737304688",60320
"50.129929254806996, 8.692958950996399",60318
"50.11810845482188, 8.656357526779175",60325
"50.12652810757999, 8.7083923816681",60385
"50.104956663814, 8.6437082290649",60327
"50.123192066106995, 8.6584603786469",60323
"50.11038913880121, 8.701086044311522",60314
"50.1019184753389, 8.691108226776121",60594
"50.12383865725913, 8.636219501495361",60486
"50.11703181564054, 8.666029572486877",60325
"50.119147233894, 8.6400818824768",60486
"50.129513151692, 8.6926370859146",60318
"50.08609475998824, 8.649362325668335",60528
"50.106432679034484, 8.695485591888428",60594
"50.122683041396996, 8.645521402359",60487
"50.11483718540399, 8.6725741624832",60322
"50.10717583032069, 8.672622442245482",60329
"50.112611493700896, 8.667150735855103",60329
"50.102131808566, 8.6360478401184",60326
"50.10440959766874, 8.690094351768494",60594
"50.131105328343, 8.6456608772278",60487
"50.10911278619, 8.6818009614944",60311
"50.12089109377375, 8.6754709482193",60322
"50.12200204041352, 8.686071038246155",60318
